,0
944,891e804248fffff
945,891e8058977ffff
946,891e80cda6fffff
947,891e80cd663ffff
948,891e80cc3b3ffff
949,891e80ce167ffff
950,891e80ca53bffff
951,891e80526c3ffff
952,891e8624933ffff
953,891e8051ccfffff
954,891e80cf1a3ffff
955,891e8054303ffff
956,891e8042537ffff
957,891e8050003ffff
958,891e805190fffff
959,891e8009533ffff
960,891e80ca347ffff
961,891e8058b8bffff
962,891e8624d2bffff
963,891e80c8203ffff
964,891e8051aabffff
965,891e80cd37bffff
966,891e8043477ffff
967,891e805a9afffff
968,891e8041073ffff
969,891e8042103ffff
970,891e80c8847ffff
971,891e8058437ffff
972,891e80c13c3ffff
973,891e805b1cfffff
974,891e80cc203ffff
975,891e80cd817ffff
976,891e804164fffff
977,891e805b357ffff
978,891e80cce73ffff
979,891e80523cbffff
980,891e8624eafffff
981,891e8052b67ffff
982,891e8043327ffff
983,891e805830bffff
984,891e805268fffff
985,891e8051403ffff
986,891e8058c8fffff
987,891e8052877ffff
988,891e80c8ec3ffff
989,891e805043bffff
990,891e80c9c3bffff
991,891e805ae8bffff
992,891e80cd39bffff
993,891e80425afffff
994,891e80ce207ffff
995,891e80ca157ffff
996,891e80512abffff
997,891e8626aabffff
998,891e80cf1cbffff
999,891e80cd2d7ffff
1000,891e804a5afffff
1001,891e80c8347ffff
1002,891e8041c9bffff
1003,891e8624bcbffff
1004,891e8057093ffff
1005,891e8040287ffff
1006,891e80435b7ffff
1007,891e8056a2fffff
1008,891e8058a87ffff
1009,891e80c861bffff
1010,891e80cd68fffff
1011,891e8624ca3ffff
1012,891e8052997ffff
1013,891e805a8d3ffff
1014,891e8051cabffff
1015,891e805aa4fffff
1016,891e805ae87ffff
1017,891e805959bffff
1018,891e804336fffff
1019,891e80506d3ffff
1020,891e804142bffff
1021,891e805290fffff
1022,891e8041c1bffff
1023,891e80c9b83ffff
1024,891e80cac9bffff
1025,891e80c84a7ffff
1026,891e80c9b27ffff
1027,891e8055d63ffff
1028,891e8055467ffff
1029,891e80c885bffff
1030,891e8042487ffff
1031,891e805b007ffff
1032,891e80cd013ffff
1033,891e80c989bffff
1034,891e805768bffff
1035,891e804003bffff
1036,891e8058963ffff
1037,891e8058363ffff
1038,891e8052b4bffff
1039,891e80402d7ffff
1040,891e80cf52fffff
1041,891e805701bffff
1042,891e80533b7ffff
1043,891e8052173ffff
1044,891e805823bffff
1045,891e80516a7ffff
1046,891e8059c8fffff
1047,891e804002fffff
1048,891e8624b83ffff
1049,891e80580bbffff
1050,891e80cdd87ffff
1051,891e804015bffff
1052,891e80c8e1bffff
1053,891e8041213ffff
1054,891e8040457ffff
1055,891e8626943ffff
1056,891e80cd28fffff
1057,891e80435cfffff
1058,891e8057337ffff
1059,891e805314bffff
1060,891e8050ecbffff
1061,891e805124fffff
1062,891e805758bffff
1063,891e805004fffff
1064,891e8626dd7ffff
1065,891e804152fffff
1066,891e8058087ffff
1067,891e805626fffff
1068,891e80c84bbffff
1069,891e80c9a73ffff
1070,891e80cd293ffff
1071,891e8050e0fffff
1072,891e80425d3ffff
1073,891e8626cafffff
1074,891e805318bffff
1075,891e8050167ffff
1076,891e80cd357ffff
1077,891e862696fffff
1078,891e805241bffff
1079,891e80595a7ffff
1080,891e80cd15bffff
1081,891e8626ba3ffff
1082,891e80c9597ffff
1083,891e80cf1b3ffff
1084,891e805523bffff
1085,891e80cc06bffff
1086,891e80433d7ffff
1087,891e800b6c7ffff
1088,891e805098fffff
1089,891e805aedbffff
1090,891e8055077ffff
1091,891e8050acbffff
1092,891e80c8e2bffff
1093,891e8042e0fffff
1094,891e80cf17bffff
1095,891e805b597ffff
1096,891e8051d73ffff
1097,891e8624907ffff
1098,891e80556d3ffff
1099,891e804645bffff
1100,891e8059dd3ffff
1101,891e86248b7ffff
1102,891e80cb117ffff
